RelationshipID,Type,To_Member,Member
1,Married,1,2
2,is_Child,2,3
3,is_Child,2,5
4,is_Child,2,6
5,is_Child,2,8
6,is_Child,2,10
7,Married,3,4
8,is_Child,4,12
9,is_Child,4,14
10,is_Child,4,15
11,Married,12,13
12,is_Child,12,26
13,Married,6,7
14,is_Child,7,16
15,is_Child,7,17
16,Married,8,9
17,is_Child,9,19
18,is_Child,9,20
19,Married,19,18
20,is_Child,9,27
21,is_Child,9,28
22,Married,10,11
23,is_Child,10,22
24,is_Child,10,24
25,is_Child,10,25
26,Married,22,21
27,is_Child,21,29
28,Married,24,23
29,is_Child,23,30
